id_pekerjaan,id_perusahaan,gaji_rata-rata_perbulan,lamaran,diperbolehkan_jarak_jauh,id_industri,jumlah_karyawan,periode_pembayaran_encoded,tingkat_pengalaman_terformat_encoded,tipe_pendaftaran_encoded,skill_1_encoded,skill_2_encoded,skill_3_encoded,judul_encoded,nama_perusahaan_encoded,negara_encoded,jenis_pekerjaan_Contract,jenis_pekerjaan_Full-time,jenis_pekerjaan_Internship,jenis_pekerjaan_Other,jenis_pekerjaan_Part-time,jenis_pekerjaan_Temporary,jenis_pekerjaan_Volunteer,tipe_kompensasi_rp,mata_uang_rp,nama_industri_encoded
3757940104,553718,5250.0,0,False,17,1171,4,2,1,28,36,36,7902,4069,51,0,1,0,0,0,0,0,1,1,47
3757940025,2192142,7085.416666666666,0,False,135,300,5,4,1,23,24,36,17409,5744,51,0,1,0,0,0,0,0,1,1,37
3757938019,474443,6776.0,0,False,147,314,5,4,1,27,36,36,10184,9391,51,0,1,0,0,0,0,0,1,1,6
3757938018,18213359,3919.52,0,False,100,36,2,2,1,23,24,36,4043,3044,51,0,1,0,0,0,0,0,1,1,52
3757937095,437225,14791.666666666664,0,True,27,1260,5,4,1,34,36,36,12807,10336,51,0,1,0,0,0,0,0,1,1,61
3757937095,437225,14791.666666666664,0,True,25,1260,5,4,1,34,36,36,12807,10336,51,0,1,0,0,0,0,0,1,1,46
3757937095,437225,14791.666666666664,0,True,6,1260,5,4,1,34,36,36,12807,10336,51,0,1,0,0,0,0,0,1,1,66
3757937037,13727,7708.333333333333,0,True,17,5394,5,4,1,21,22,36,19310,10208,51,0,1,0,0,0,0,0,1,1,47
3757936167,2915,3647.6,0,False,27,4039,2,4,1,21,22,36,300,287,51,0,1,0,0,0,0,0,1,1,61
3757936097,18213359,3396.8,0,False,100,36,2,2,1,23,24,36,5489,3044,51,0,1,0,0,0,0,0,1,1,52
3757936026,634806,7500.0,12,True,104,23,2,2,2,7,36,36,8610,7763,51,1,0,0,0,0,0,0,1,1,65
3757935111,2073870,9166.666666666666,0,True,96,20277,5,6,1,34,36,36,4713,681,51,0,1,0,0,0,0,0,1,1,35
3757935026,16223627,6778.64,0,False,14,26,2,2,1,31,36,36,11259,325,51,1,0,0,0,0,0,0,1,1,33
3757935025,99500291,5104.0,0,False,16,1,2,4,1,31,36,36,1728,9788,51,0,1,0,0,0,0,0,1,1,72
3757935012,18583501,10864.583333333334,12,False,4,16736,5,3,3,34,36,36,13830,8417,51,0,1,0,0,0,0,0,1,1,64
3757935011,82556159,4750.0,0,True,31,3,5,2,1,21,22,36,14759,5966,51,0,1,0,0,0,0,0,1,1,32
3757935010,82556159,4750.0,0,True,31,3,5,2,1,21,22,36,14759,5966,51,0,1,0,0,0,0,0,1,1,32
3757935003,18583501,7708.333333333333,0,False,17,16736,5,4,3,21,22,36,3970,8417,51,0,1,0,0,0,0,0,1,1,47
3757935001,73013724,14791.666666666664,0,True,43,358,5,4,3,21,22,36,15596,4649,51,0,1,0,0,0,0,0,1,1,27
3757934630,36749,3647.6,0,False,27,3947,2,4,1,21,26,36,18456,9222,51,0,1,0,0,0,0,0,1,1,61
3757934539,2192142,7085.416666666666,8,False,135,300,5,4,1,23,24,36,20372,5744,51,0,1,0,0,0,0,0,1,1,37
3757934423,18213359,3396.8,0,False,100,36,2,2,1,23,24,36,4275,3044,51,0,1,0,0,0,0,0,1,1,52
3757934327,99500291,5104.0,0,False,16,1,2,4,1,31,36,36,1728,9788,51,0,1,0,0,0,0,0,1,1,72
