id_perusahaan,jumlah_karyawan,jumlah_follower,waktu_dicatat
82559090,14,1527,1692772640.0
87720672,1,511,1692772642.0
91098929,6,241,1692772642.0
47660218,7,268,1692816979.0
89721371,2,82,1692816979.0
47238,764,11976,1692816979.0
1044,273293,5559823,1692816979.0
1180728,366,6862,1692816979.0
89768356,11,377,1692816979.0
164992,111,47802,1692816979.0
65515408,31,285,1692816979.0
15363324,50,237,1692816979.0
88421962,44,362,1692816979.0
1318870,41,1150,1692816979.0
96654985,0,1,1692816979.0
96360915,2,41,1692816979.0
2740813,315,24731,1692816979.0
80051634,16,1767,1692816979.0
487710,805,1168,1692816979.0
2389778,27,4446,1692816979.0
6967,1257,47800,1692816979.0
66932,26,2256,1692816979.0
77757558,13,613,1692816979.0
10035810,26328,222396,1692816979.0
45068,3293,49413,1692817060.0
164707,3960,90021,1692817060.0
28142959,18,2585,1692817060.0
1712352,25,707,1692817060.0
81471675,2,359,1692817060.0
80777602,2,75,1692817060.0
43041,2637,12116,1692817060.0
2476170,23,382,1692817060.0
3769582,15,267,1692817060.0
2893575,9,770,1692817060.0
2083295,848,17648,1692817060.0
82695521,37,8601,1692817060.0
95019864,6,904,1692817060.0
613812,1555,133465,1692817060.0
54133543,49,8678,1692817060.0
1364228,74,18725,1692817060.0
35633786,5,36,1692817140.0
21514196,152,5039,1692817140.0
43558,99,4605,1692817140.0
22286034,18,801,1692817140.0
332139,158,29195,1692817140.0
79919162,6,2069,1692817140.0
11056,13096,1711262,1692817140.0
16029992,3,10,1692817140.0
123507,208,13328,1692817140.0
89930579,4,206,1692817140.0
701854,5708,54462,1692817140.0
29039424,41,4945,1692817140.0
10599076,297,93995,1692817140.0
16775,476,38407,1692817140.0
165747,74,22983,1692817140.0
29686,163,118109,1692817140.0
80294339,5,41,1692817140.0
11213065,11,316,1692817140.0
1091069,244,13646,1692817220.0
164834,9267,765364,1692817220.0
77129996,1,6,1692817220.0
15232600,5,613,1692817220.0
3540705,1404,107371,1692817220.0
2689946,237,157196,1692817220.0
164331,3582,258661,1692817220.0
7260,1200,196369,1692817220.0
1197199,51,18399,1692817220.0
2958,3157,49098,1692817220.0
729238,274,33488,1692817220.0
1179727,94,4101,1692817220.0
10324459,135,11818,1692817220.0
81350906,43,3774,1692817220.0
40909281,58,1309,1692817220.0
10801655,23951,537137,1692817220.0
701236,442,3527,1692817220.0
3384,27324,57319,1692817220.0
9454649,207,9525,1692817220.0
9180398,123,742,1692817220.0
3432,36660,278160,1692817220.0
17937,2577,515638,1692817220.0
7990,10315,81046,1692817220.0
89687784,3,139,1692817301.0
69419,557,2772,1692817301.0
641035,645,18494,1692817302.0
165257,6638,95517,1692817302.0
9223341,140,9316,1692817302.0
14070878,264,45720,1692817302.0
79815,213,20539,1692817302.0
52176410,28,23273,1692817302.0
10854663,26,23290,1692817302.0
45593,334,24530,1692817302.0
76412394,70,27600,1692817302.0
1656268,1540,180178,1692817302.0
6134,428,4012,1692817302.0
373568,361,215051,1692817302.0
545751,142,100308,1692817302.0
29091,95,23372,1692817302.0
2510434,258,2403,1692817382.0
2756204,853,192990,1692817382.0
18255,3991,53270,1692817382.0
16742,1681,40327,1692817382.0
15355,13,17555,1692817382.0
53185587,72,1031,1692817382.0
6088,5006,304446,1692817382.0
92409,226,11942,1692817382.0
14407234,40,9253,1692817382.0
1885564,36,1905,1692817382.0
6641761,245,3230,1692817382.0
5235,12457,2147585,1692817382.0
80705,729,3798,1692817382.0
40848932,3,152,1692817382.0
118551,43,1899,1692817382.0
27057164,19,8465,1692817382.0
7012604,38,10318,1692817382.0
30186,168,2039,1692817382.0
24836,659,11485,1692817382.0
12178391,7,851,1692817464.0
142571,357,34013,1692817464.0
11243687,131,26541,1692817464.0
1012425,454,1610,1692817464.0
2394652,2488,21277,1692817464.0
82533810,3,823,1692817464.0
6044,1954,350563,1692817464.0
78810685,5,95,1692817464.0
72456010,30,15501,1692817464.0
1463,83579,1460893,1692817464.0
29293182,6,13236,1692817464.0
77387513,23,24115,1692817464.0
18476,2123,853461,1692817464.0
2908367,1750,164650,1692817464.0
2648958,12,11790,1692817464.0
1977034,17,1426,1692817464.0
316938,485,7475,1692817464.0
3101619,8,2086,1692817545.0
827183,640,484532,1692817545.0
7032083,118,41004,1692817545.0
1373835,983,4956,1692817545.0
15240711,1592,207242,1692817545.0
9187114,207,64457,1692817545.0
74022590,15,9639,1692817545.0
27292,2098,679263,1692817545.0
34654317,31,70430,1692817545.0
14352,751,418426,1692817545.0
1841,87256,1663939,1692817545.0
2121,14567,143091,1692817545.0
92294,113,1261,1692817545.0
74303,35,1253,1692817545.0
8118,7104,68605,1692817545.0
232557,950,8185,1692817545.0
17900699,10,3363,1692817545.0
25461,585,252502,1692817545.0
7242,64102,221435,1692817545.0
4787,13092,1303832,1692817626.0
9328925,47,84911,1692817626.0
14113,811,47150,1692817626.0
77143692,53,2171,1692817626.0
67572051,2015,285305,1692817626.0
6575603,118,174651,1692817626.0
13713353,6,769,1692817626.0
73431608,0,658,1692817626.0
6587671,7,325,1692817626.0
10432834,41,1277,1692817626.0
18783638,26,1020,1692817626.0
84645,555,37749,1692817626.0
1369363,278,3616,1692817626.0
157240,296827,6146253,1692817626.0
165464,4886,309314,1692817626.0
33249838,13,6681,1692817626.0
140581,1546,69552,1692817626.0
9371344,447,11568,1692817626.0
3067,156740,5043809,1692817626.0
61677,2818,391824,1692817706.0
31356620,64,34805,1692817706.0
38117,287,215735,1692817706.0
1612340,89,15405,1692817706.0
417618,147,136350,1692817706.0
1637,42546,879477,1692817706.0
23740523,59,357,1692817706.0
11742196,17,170,1692817706.0
14467750,304,56996,1692817706.0
1783020,112,10591,1692817706.0
3684,971,220173,1692817706.0
475428,730,31209,1692817706.0
10247020,242,7554,1692817706.0
14392471,403,63653,1692817706.0
14628031,38,4194,1692817706.0
117620,81,10732,1692817706.0
124391,8,27915,1692817706.0
71010895,3,196,1692817706.0
5140,18359,1083228,1692817706.0
327412,169,6939,1692817706.0
88804,332,2560,1692817706.0
890145,1850,204470,1692817786.0
78095772,20,5159,1692817786.0
55215,997,71278,1692817786.0
318540,1092,103350,1692817786.0
2562128,657,83718,1692817786.0
33264,1501,40889,1692817786.0
1106954,61,9983,1692817786.0
99097,154,48818,1692817786.0
2826091,10,72,1692817786.0
37497578,7,6,1692817786.0
77712306,9,2130,1692817786.0
35642069,8,30,1692817786.0
1353,567835,13592250,1692817786.0
33278075,33,10990,1692817786.0
1681,32197,2609057,1692817786.0
17516,2731,40702,1692817786.0
35351,396,3802,1692817786.0
2684081,302,344958,1692817786.0
10469647,246,47336,1692817786.0
969699,7,7631,1692817866.0
481931,47,2740,1692817866.0
72483,7529,91979,1692817866.0
9195529,182,5714,1692817866.0
266132,82,41090,1692817866.0
96121422,53,1027,1692817866.0
26569406,25,227,1692817866.0
71001459,66,9146,1692817866.0
16164204,14,11168,1692817866.0
131001,77,623,1692817866.0
18921,557,80624,1692817866.0
89810312,1,93,1692817866.0
95675928,23,3563,1692817866.0
331509,202,50073,1692817866.0
375438,424,9394,1692817866.0
594182,29,755,1692817866.0
314772,9,351,1692817866.0
108486,71,6367,1692817866.0
1318,290191,7782514,1692817947.0
96692,962,125713,1692817947.0
1265173,31,1784,1692817947.0
1316967,133,11591,1692817947.0
72130268,2,24276,1692817947.0
7941225,145,112243,1692817947.0
4122,2899,62539,1692817947.0
1552579,848,19464,1692817947.0
961273,110,21422,1692817947.0
90396,745,97711,1692817947.0
2872071,4,1238,1692817947.0
8234,6788,42292,1692817947.0
1286891,695,75586,1692817947.0
75041012,89,47894,1692817947.0
80065524,24,5403,1692817947.0
80980042,47,3510,1692817947.0
20121834,75,1806,1692817947.0
14632005,366,139637,1692818027.0
1372291,42,17251,1692818027.0
78336991,5,3,1692818027.0
165295,24401,200460,1692818027.0
1851642,18,47391,1692818027.0
3758,3041,20756,1692818027.0
165118,10316,74134,1692818027.0
77607954,2,1544,1692818027.0
47040,1927,296939,1692818027.0
132625,161,54584,1692818027.0
911461,551,92554,1692818027.0
18348487,24457,2599978,1692818027.0
11229,4764,633515,1692818027.0
28129827,15,6932,1692818027.0
18660,295,5556,1692818027.0
503712,421,9484,1692818027.0
166340,9985,273646,1692818027.0
306672,59,7059,1692818027.0
70560,693,15168,1692818027.0
1679692,48,4605,1692818107.0
15956153,13,16,1692818107.0
26574100,34,10548,1692818107.0
28406927,21,291,1692818107.0
7288391,152,172,1692818107.0
816297,58,295,1692818107.0
21213719,427,5518,1692818107.0
2503130,1363,85924,1692818107.0
3029525,3155,57878,1692818107.0
48682,739,4204,1692818107.0
74702276,12,5211,1692818107.0
22208562,2173,63427,1692818107.0
27240013,19,6921,1692818107.0
42723251,547,6932,1692818107.0
163743,29737,664130,1692818107.0
5389219,32,931,1692818107.0
166421,3249,37921,1692818107.0
