id_pekerjaan,id_perusahaan,gaji_rata-rata_perbulan,lamaran,diperbolehkan_jarak_jauh,id_industri,jumlah_karyawan,periode_pembayaran_encoded,tingkat_pengalaman_terformat_encoded,tipe_pendaftaran_encoded,skill_1_enconded,skill_2_encoded,skill_3_encoded,judul_encoded,nama_perusahaan_encoded,negara_encoded,jenis_pekerjaan_Contract,jenis_pekerjaan_Full-time,jenis_pekerjaan_Internship,jenis_pekerjaan_Other,jenis_pekerjaan_Part-time,jenis_pekerjaan_Temporary,jenis_pekerjaan_Volunteer,tipe_kompensasi_rp,mata_uang_rp,nama_industri_encoded
3756113757,5235.0,6041.666666666667,1.0,0.0,47.0,12986.0,5,2,3,30,36,36,6917,5053,51,0,1,0,0,0,0,0,1,1,1
3693053152,11229.0,7500.0,2.0,0.0,47.0,4871.0,5,2,2,30,36,36,6918,9673,51,0,1,0,0,0,0,0,1,1,1
3749348113,11229.0,7500.0,0.0,0.0,47.0,4871.0,5,4,1,30,36,36,182,9673,51,0,1,0,0,0,0,0,1,1,1
3693046685,11229.0,7500.0,48.0,1.0,47.0,4871.0,2,4,2,30,36,36,12236,9673,51,1,0,0,0,0,0,0,1,1,1
3749357075,3743.0,5280.0,0.0,0.0,47.0,17859.0,2,4,1,30,20,36,18962,7315,51,0,0,0,0,1,0,0,1,1,1
3755595205,5235.0,14500.0,1.0,0.0,47.0,12986.0,5,4,3,30,20,36,16259,5053,51,0,1,0,0,0,0,0,1,1,1
3701366370,5507.0,8750.0,7.0,1.0,47.0,8996.0,5,4,1,23,24,36,16746,2374,51,0,1,0,0,0,0,0,1,1,1
3693053312,11229.0,7500.0,6.0,0.0,47.0,4871.0,5,4,2,30,20,36,8730,9673,51,0,1,0,0,0,0,0,1,1,1
3749373470,2859.0,7500.0,3.0,0.0,47.0,10657.0,5,2,1,20,30,36,8311,966,51,0,1,0,0,0,0,0,1,1,1
3701365523,5507.0,7500.0,8.0,0.0,47.0,8996.0,5,4,1,12,19,34,16147,2374,51,0,1,0,0,0,0,0,1,1,1
3757715400,15228.0,4416.666666666667,3.0,0.0,47.0,2063.0,5,3,3,30,20,19,11014,2462,51,0,1,0,0,0,0,0,1,1,1
3757715665,5507.0,10446.666666666666,0.0,0.0,47.0,8996.0,5,4,1,30,20,36,6831,2374,51,0,1,0,0,0,0,0,1,1,1
3693048379,11229.0,7500.0,16.0,0.0,47.0,4871.0,5,4,2,30,36,36,16562,9673,51,0,1,0,0,0,0,0,1,1,1
3701364845,5507.0,7500.0,11.0,0.0,47.0,8996.0,5,4,1,12,19,34,16147,2374,51,0,1,0,0,0,0,0,1,1,1
3697394713,18401.0,5192.0,0.0,0.0,47.0,2125.0,2,1,1,30,20,36,18604,1876,51,0,1,0,0,0,0,0,1,1,1
