id_pekerjaan,id_perusahaan,gaji_rata-rata_perbulan,lamaran,diperbolehkan_jarak_jauh,id_industri,jumlah_karyawan,periode_pembayaran_encoded,tingkat_pengalaman_terformat_encoded,tipe_pendaftaran_encoded,skill_1_encoded,skill_2_encoded,skill_3_encoded,judul_encoded,nama_industri_encoded,nama_perusahaan_encoded,negara_encoded,jenis_pekerjaan_Contract,jenis_pekerjaan_Full-time,jenis_pekerjaan_Internship,jenis_pekerjaan_Other,jenis_pekerjaan_Part-time,jenis_pekerjaan_Temporary,jenis_pekerjaan_Volunteer,tipe_kompensasi_rp,mata_uang_rp
3757932828,0,7810.833333333334,2,False,15,0,5,4,3,14,36,36,6685,55,9593,53,0,1,0,0,0,0,0,1,1
3757932826,99500291,5104.0,0,False,16,1,2,4,1,31,36,36,1728,72,9788,51,0,1,0,0,0,0,0,1,1
3757932813,6577380,3432.0,0,False,112,48,2,4,1,23,24,36,6875,4,2199,51,0,1,0,0,0,0,0,1,1
3757932805,18583501,7708.333333333333,4,False,17,16736,5,3,3,21,22,36,13770,47,8417,51,0,1,0,0,0,0,0,1,1
3757932799,73013724,14791.666666666664,0,True,43,358,5,4,3,21,22,36,15596,27,4649,51,0,1,0,0,0,0,0,1,1
3757932775,79098833,6778.64,0,False,14,3,5,2,3,31,36,36,9339,33,9779,51,0,1,0,0,0,0,0,1,1
3757932761,91313799,7083.333333333333,0,False,124,863,5,4,3,35,36,36,1988,73,8415,51,0,1,0,0,0,0,0,1,1
3757932742,79098833,8169.92,0,False,11,3,5,4,3,27,36,36,18550,12,9779,51,0,1,0,0,0,0,0,1,1
3757932736,73013724,14791.666666666664,2,True,43,358,5,4,3,21,22,36,15596,27,4649,51,0,1,0,0,0,0,0,1,1
3757932732,100254113,7500.0,1,False,112,0,5,4,3,21,22,36,15573,4,8549,51,0,1,0,0,0,0,0,1,1
3757932726,1815218,3256.0,0,False,1285,25512,2,4,1,23,24,36,17910,40,9464,51,0,1,0,0,0,0,0,1,1
3757932725,1815218,3256.0,1,False,1285,25512,2,4,1,23,24,36,17910,40,9464,51,0,1,0,0,0,0,0,1,1
3757932471,73013724,14791.666666666664,0,True,43,358,5,4,3,21,22,36,15596,27,4649,51,0,1,0,0,0,0,0,1,1
3757932015,73013724,14791.666666666664,3,True,43,358,5,4,3,21,22,36,15596,27,4649,51,0,1,0,0,0,0,0,1,1
3757931926,9596847,11118.8,0,False,34,5680,2,4,1,31,36,36,18315,29,9657,51,0,1,0,0,0,0,0,1,1
3757931895,2073870,9166.666666666666,0,False,96,20277,5,4,1,23,24,36,18528,35,681,51,0,1,0,0,0,0,0,1,1
3757931831,12961970,6250.0,0,False,44,56,5,4,3,23,24,36,5837,57,1064,51,0,1,0,0,0,0,0,1,1
