id_pekerjaan,id_perusahaan,gaji_rata-rata_perbulan,lamaran,diperbolehkan_jarak_jauh,id_industri,jumlah_karyawan,periode_pembayaran_encoded,tingkat_pengalaman_terformat_encoded,tipe_pendaftaran_encoded,skill_1_enconded,skill_2_encoded,skill_3_encoded,judul_encoded,nama_perusahaan_encoded,negara_encoded,jenis_pekerjaan_Contract,jenis_pekerjaan_Full-time,jenis_pekerjaan_Internship,jenis_pekerjaan_Other,jenis_pekerjaan_Part-time,jenis_pekerjaan_Temporary,jenis_pekerjaan_Volunteer,tipe_kompensasi_rp,mata_uang_rp,nama_industri_encoded
3757494211,777243.0,5208.333333333333,6.0,0.0,47.0,329.0,5,3,3,30,36,36,554,788,51,0,1,0,0,0,0,0,1,1,1
3757446992,777243.0,7500.0,1.0,0.0,47.0,329.0,5,3,3,30,36,36,18936,788,51,0,1,0,0,0,0,0,1,1,1
3693581957,1286891.0,7500.0,0.0,0.0,47.0,705.0,5,4,1,30,20,36,564,9892,51,0,1,0,0,0,0,0,1,1,1
3757742875,48915.0,6458.333333333333,1.0,0.0,47.0,67.0,5,3,3,30,36,36,18261,2710,51,0,1,0,0,0,0,0,1,1,1
3757435778,777243.0,6041.666666666667,0.0,0.0,47.0,329.0,5,3,3,30,35,20,18261,788,51,0,1,0,0,0,0,0,1,1,1
3697399167,18401.0,6054.166666666667,0.0,0.0,47.0,2125.0,5,2,1,30,20,36,1849,1876,51,0,1,0,0,0,0,0,1,1,1
3757725502,6044.0,11458.333333333334,0.0,0.0,47.0,1989.0,5,4,2,30,19,36,9400,10188,51,0,1,0,0,0,0,0,1,1,1
3693583732,3743.0,5808.0,1.0,0.0,47.0,17859.0,2,4,1,28,36,36,4468,7315,51,0,0,0,0,1,0,0,1,1,1
3699403839,17246.0,7500.0,0.0,0.0,47.0,173.0,5,4,3,30,20,36,1836,7451,51,0,1,0,0,0,0,0,1,1,1
3697396590,18401.0,5192.0,0.0,0.0,47.0,2125.0,2,1,1,30,20,36,18604,1876,51,0,1,0,0,0,0,0,1,1,1
3690611859,81535497.0,7500.0,2.0,0.0,47.0,139.0,5,4,3,14,36,36,18940,4785,51,0,1,0,0,0,0,0,1,1,1
3755582644,556602.0,10000.0,0.0,1.0,47.0,69.0,5,4,1,30,20,29,20344,8076,51,0,1,0,0,0,0,0,1,1,1
3693067929,497248.0,3432.0,2.0,0.0,47.0,24.0,5,4,3,30,20,36,18927,2211,51,0,1,0,0,0,0,0,1,1,1
3757468594,88652973.0,5500.0,18.0,1.0,47.0,10.0,2,3,3,20,30,36,554,4043,51,0,0,0,0,1,0,0,1,1,1
3693053152,11229.0,7500.0,2.0,0.0,47.0,4871.0,5,2,2,30,36,36,6918,9673,51,0,1,0,0,0,0,0,1,1,1
3755554974,164445.0,7500.0,1.0,0.0,47.0,314.0,5,2,3,30,20,25,4136,4617,51,0,1,0,0,0,0,0,1,1,1
3693053312,11229.0,7500.0,6.0,0.0,47.0,4871.0,5,4,2,30,20,36,8730,9673,51,0,1,0,0,0,0,0,1,1,1
3693590179,24408.0,7500.0,5.0,0.0,47.0,905.0,5,2,3,30,36,36,6,2789,51,0,1,0,0,0,0,0,1,1,1
3756118118,232394.0,7916.666666666667,7.0,1.0,47.0,86.0,5,4,2,30,20,19,1835,1353,20,0,1,0,0,0,0,0,1,1,1
3757483248,72298250.0,8541.666666666666,0.0,0.0,47.0,10.0,5,4,3,30,20,36,18233,3215,1,0,1,0,0,0,0,0,1,1,1
3693599609,163228.0,7474.06375,3.0,0.0,47.0,5528.0,5,4,1,30,36,36,16562,2317,51,0,1,0,0,0,0,0,1,1,1
3701373187,79098.0,9333.333333333334,0.0,0.0,47.0,185.0,5,4,1,10,34,36,16540,500,51,1,0,0,0,0,0,0,1,1,1
3693068495,1146188.0,9791.666666666666,48.0,1.0,47.0,10.0,5,4,3,30,36,36,586,3252,51,0,1,0,0,0,0,0,1,1,1
3693596598,11229.0,7500.0,3.0,0.0,47.0,4871.0,5,4,2,30,36,36,16023,9673,51,0,1,0,0,0,0,0,1,1,1
3697398595,18401.0,6054.166666666667,0.0,0.0,47.0,2125.0,5,2,1,30,20,36,1849,1876,51,0,1,0,0,0,0,0,1,1,1
3701196939,132319.0,14500.0,0.0,0.0,47.0,64.0,5,6,3,30,20,34,6744,5810,51,0,1,0,0,0,0,0,1,1,1
3693580975,3743.0,5808.0,3.0,0.0,47.0,17859.0,2,4,1,29,34,21,2536,7315,51,0,1,0,0,0,0,0,1,1,1
3757480507,43325.0,11433.84,5.0,1.0,47.0,799.0,2,4,2,30,20,36,15268,8211,51,1,0,0,0,0,0,0,1,1,1
3757487603,5403271.0,3696.0,0.0,0.0,47.0,62.0,2,3,3,30,36,36,2208,3144,51,0,1,0,0,0,0,0,1,1,1
3693580972,3743.0,5808.0,0.0,0.0,47.0,17859.0,2,4,1,30,20,36,1829,7315,51,0,1,0,0,0,0,0,1,1,1
3757742875,48915.0,6458.333333333333,1.0,0.0,47.0,67.0,5,3,3,30,36,36,18261,2710,51,0,1,0,0,0,0,0,1,1,1
3756164317,844650.0,7500.0,1.0,0.0,47.0,16.0,2,4,3,20,21,36,3139,5774,51,0,0,0,0,1,0,0,1,1,1
3699055418,8795.0,7500.0,0.0,0.0,47.0,4075.0,5,4,1,22,21,36,19428,6950,51,0,1,0,0,0,0,0,1,1,1
3694116043,1038.0,7500.0,0.0,0.0,47.0,84960.0,5,4,1,34,36,36,11641,2581,42,0,1,0,0,0,0,0,1,1,1
3694111606,3743.0,7500.0,0.0,0.0,47.0,17859.0,5,4,1,30,20,36,6612,7315,51,0,1,0,0,0,0,0,1,1,1
