id_pekerjaan,id_perusahaan,gaji_rata-rata_perbulan,lamaran,diperbolehkan_jarak_jauh,id_industri,jumlah_karyawan,periode_pembayaran_encoded,tingkat_pengalaman_terformat_encoded,tipe_pendaftaran_encoded,singkatan_kemampuanencoded,judul_encoded,nama_perusahaan_encoded,negara_encoded,jenis_pekerjaan_terformat_encoded,tipe_kompensasi_rp,mata_uang_rp,nama_industri_encoded
3757737809,12986319,7500.0,0,False,47,3,5,4,3,20,557,6330,48,2,1,1,1
3757737087,139626,7500.0,2,True,47,74,5,2,3,34,14451,454,48,2,1,1,1
3757737087,139626,7500.0,2,True,47,74,5,2,3,29,14451,454,48,2,1,1,1
3757736171,2437248,7500.0,0,False,47,8682,5,2,1,28,1403,1398,48,2,1,1,1
3757734505,814200,5720.0,1,False,47,11,2,4,3,30,557,8200,48,5,1,1,1
3757734505,814200,5720.0,1,False,47,11,2,4,3,20,557,8200,48,5,1,1,1
3757734505,814200,5720.0,1,False,47,11,2,4,3,19,557,8200,48,5,1,1,1
3757733307,2437248,5544.0,0,False,47,8682,2,2,1,28,1401,1398,48,2,1,1,1
3757732501,2437248,7500.0,0,False,47,8682,5,4,1,20,14995,1398,48,2,1,1,1
3757732501,2437248,7500.0,0,False,47,8682,5,4,1,30,14995,1398,48,2,1,1,1
3757732499,2437248,7500.0,0,False,47,8682,2,1,1,30,17777,1398,48,5,1,1,1
3757732499,2437248,7500.0,0,False,47,8682,2,1,1,20,17777,1398,48,5,1,1,1
3757732486,777243,5416.666666666667,0,False,47,329,5,4,3,30,17091,723,48,2,1,1,1
3757732486,777243,5416.666666666667,0,False,47,329,5,4,3,20,17091,723,48,2,1,1,1
3757731678,120393,11875.0,0,False,47,1476,5,4,1,30,17750,6067,48,2,1,1,1
3757731678,120393,11875.0,0,False,47,1476,5,4,1,20,17750,6067,48,2,1,1,1
3757731544,139626,9583.333333333334,1,True,47,74,5,4,1,34,15879,454,48,2,1,1,1
3757731544,139626,9583.333333333334,1,True,47,74,5,4,1,29,15879,454,48,2,1,1,1
